freq_hz,level_db
0.000000,-24.025843
43.066406,-26.866590
86.132812,-29.304047
129.199219,-31.802162
172.265625,-34.341194
215.332031,-36.985950
258.398438,-36.067596
301.464844,-35.979954
344.531250,-36.348320
387.597656,-36.793285
430.664062,-37.440903
473.730469,-38.403709
516.796875,-39.295822
559.863281,-40.467529
602.929688,-42.158306
645.996094,-44.274818
689.062500,-46.341805
732.128906,-47.755276
775.195312,-48.432640
818.261719,-48.836426
861.328125,-49.373631
904.394531,-50.014332
947.460938,-50.797417
990.527344,-52.384560
1033.593750,-54.131023
1076.660156,-55.343330
1119.726562,-56.131901
1162.792969,-56.913952
1205.859375,-57.683842
1248.925781,-58.430454
1291.992188,-59.162975
1335.058594,-59.858864
1378.125000,-60.518349
1421.191406,-61.169296
1464.257812,-61.796364
1507.324219,-62.474567
1550.390625,-63.211155
1593.457031,-64.007858
1636.523438,-64.856926
1679.589844,-65.759163
1722.656250,-66.714951
1765.722656,-67.713074
1808.789062,-68.692451
1851.855469,-69.651581
1894.921875,-70.521362
1937.988281,-71.298744
1981.054688,-71.990150
2024.121094,-72.581039
2067.187500,-73.100792
2110.253906,-73.552879
2153.320312,-73.916687
2196.386719,-74.198189
2239.453125,-74.368622
2282.519531,-74.481224
2325.585938,-74.545242
2368.652344,-74.606712
2411.718750,-74.694023
2454.785156,-74.829773
2497.851562,-75.034912
2540.917969,-75.252647
2583.984375,-75.464310
2627.050781,-75.648827
2670.117188,-75.845200
2713.183594,-76.138168
2756.250000,-76.508575
2799.316406,-76.879166
2842.382812,-77.254028
2885.449219,-77.588676
2928.515625,-77.863258
2971.582031,-78.130150
3014.648438,-78.422661
3057.714844,-78.768906
3100.781250,-79.120636
3143.847656,-79.426247
3186.914062,-79.617874
3229.980469,-79.699341
3273.046875,-79.746864
3316.113281,-79.775833
3359.179688,-79.851486
3402.246094,-80.002907
3445.312500,-80.178062
3488.378906,-80.372902
3531.445312,-80.563667
3574.511719,-80.710045
3617.578125,-80.846184
3660.644531,-80.992859
3703.710938,-81.219604
3746.777344,-81.502411
3789.843750,-81.817909
3832.910156,-82.105942
3875.976562,-82.352081
3919.042969,-82.563759
3962.109375,-82.779007
4005.175781,-82.893074
4048.242188,-83.008163
4091.308594,-83.199333
4134.375000,-83.460815
4177.441406,-83.679543
4220.507812,-83.850670
4263.574219,-84.007904
4306.640625,-84.224907
4349.707031,-84.539291
4392.773438,-84.843330
4435.839844,-84.995781
4478.906250,-85.096573
4521.972656,-85.319084
4565.039062,-85.567375
4608.105469,-85.783012
4651.171875,-85.956779
4694.238281,-86.090691
4737.304688,-86.176743
4780.371094,-86.195526
4823.437500,-86.088478
4866.503906,-85.955574
4909.570312,-85.843803
4952.636719,-85.774910
4995.703125,-85.567505
5038.769531,-85.431328
5081.835938,-85.450119
5124.902344,-85.435135
5167.968750,-85.462280
5211.035156,-85.567543
5254.101562,-85.749046
5297.167969,-85.926476
5340.234375,-86.079346
5383.300781,-86.259598
5426.367188,-86.398903
5469.433594,-86.573944
5512.500000,-86.630539
5555.566406,-86.537766
5598.632812,-86.466209
5641.699219,-86.452965
5684.765625,-86.432693
5727.832031,-86.357346
5770.898438,-86.492577
5813.964844,-86.593094
5857.031250,-86.659882
5900.097656,-86.720314
5943.164062,-86.789261
5986.230469,-86.872009
6029.296875,-86.963577
6072.363281,-87.099556
6115.429688,-87.231712
6158.496094,-87.309227
6201.562500,-87.344238
6244.628906,-87.197777
6287.695312,-87.074974
6330.761719,-86.986061
6373.828125,-87.085014
6416.894531,-87.325058
6459.960938,-87.620773
6503.027344,-87.926743
6546.093750,-88.279884
6589.160156,-88.589828
6632.226562,-88.902588
6675.292969,-89.195518
6718.359375,-89.392357
6761.425781,-89.597458
6804.492188,-89.772156
6847.558594,-89.810455
6890.625000,-89.763306
6933.691406,-89.649048
6976.757812,-89.543373
7019.824219,-89.430397
7062.890625,-89.388733
7105.957031,-89.444794
7149.023438,-89.580986
7192.089844,-89.815895
7235.156250,-90.168213
7278.222656,-90.701599
7321.289062,-91.218636
7364.355469,-91.638733
7407.421875,-91.957642
7450.488281,-92.185272
7493.554688,-92.383789
7536.621094,-92.525742
7579.687500,-92.521828
7622.753906,-92.415741
7665.820312,-92.237015
7708.886719,-91.978111
7751.953125,-91.543060
7795.019531,-91.140579
7838.085938,-90.835899
7881.152344,-90.623932
7924.218750,-90.414970
7967.285156,-90.237099
8010.351562,-90.104584
8053.417969,-90.048195
8096.484375,-90.081505
8139.550781,-90.219910
8182.617188,-90.432846
8225.683594,-90.797592
8268.750000,-91.133781
8311.816406,-91.379349
8354.882812,-91.528976
8397.949219,-91.635956
8441.015625,-91.763443
8484.082031,-91.853477
8527.148438,-91.927216
8570.214844,-91.967873
8613.281250,-91.926193
8656.347656,-91.878105
8699.414062,-91.643448
8742.480469,-91.352356
8785.546875,-91.172134
8828.613281,-91.225327
8871.679688,-91.293068
8914.746094,-91.289421
8957.812500,-91.273186
9000.878906,-91.289322
9043.945312,-91.336235
9087.011719,-91.443970
9130.078125,-91.475975
9173.144531,-91.618332
9216.210938,-91.814430
9259.277344,-91.965393
9302.343750,-92.005524
9345.410156,-92.210510
9388.476562,-92.364861
9431.542969,-92.214264
9474.609375,-92.045654
9517.675781,-92.251099
9560.742188,-92.393478
9603.808594,-92.566483
9646.875000,-92.774834
9689.941406,-93.071449
9733.007812,-93.328514
9776.074219,-93.442871
9819.140625,-93.413719
9862.207031,-93.486244
9905.273438,-93.783127
9948.339844,-94.062820
9991.406250,-94.039597
10034.472656,-94.071487
10077.539062,-94.068146
10120.605469,-93.978027
10163.671875,-93.832039
10206.738281,-93.728912
10249.804688,-93.641853
10292.871094,-93.627968
10335.937500,-93.401611
10379.003906,-93.542465
10422.070312,-93.618866
10465.136719,-93.588295
10508.203125,-93.546379
10551.269531,-93.532188
10594.335938,-93.533875
10637.402344,-93.476768
10680.468750,-93.358192
10723.535156,-93.371010
10766.601562,-93.419914
10809.667969,-93.745964
10852.734375,-93.794914
10895.800781,-93.959969
10938.867188,-94.151215
10981.933594,-94.203506
11025.000000,-94.213081
11068.066406,-94.178909
11111.132812,-94.285721
11154.199219,-94.513733
11197.265625,-94.714821
11240.332031,-94.794220
11283.398438,-94.761360
11326.464844,-94.618057
11369.531250,-94.596985
11412.597656,-94.357048
11455.664062,-94.323524
11498.730469,-94.472557
11541.796875,-94.813316
11584.863281,-94.977623
11627.929688,-95.016571
11670.996094,-94.972481
11714.062500,-94.978249
11757.128906,-94.988609
11800.195312,-95.007965
11843.261719,-95.030952
11886.328125,-95.404778
11929.394531,-95.604698
11972.460938,-95.566284
12015.527344,-95.367859
12058.593750,-95.335388
12101.660156,-95.328720
12144.726562,-95.368317
12187.792969,-95.396347
12230.859375,-95.512756
12273.925781,-95.754272
12316.992188,-95.835747
12360.058594,-95.845009
12403.125000,-95.969688
12446.191406,-96.060974
12489.257812,-96.278038
12532.324219,-96.429733
12575.390625,-96.283119
12618.457031,-96.245071
12661.523438,-96.312622
12704.589844,-96.411545
12747.656250,-96.506035
12790.722656,-96.544983
12833.789062,-96.494049
12876.855469,-96.400627
12919.921875,-96.452751
12962.988281,-96.358978
13006.054688,-96.329872
13049.121094,-96.659821
13092.187500,-96.833313
13135.253906,-96.918678
13178.320312,-96.906769
13221.386719,-96.788521
13264.453125,-96.719437
13307.519531,-96.739937
13350.585938,-96.790588
13393.652344,-96.731239
13436.718750,-96.797844
13479.785156,-96.809540
13522.851562,-96.704567
13565.917969,-96.689384
13608.984375,-96.675598
13652.050781,-96.652267
13695.117188,-96.696022
13738.183594,-96.774757
13781.250000,-96.908379
13824.316406,-97.105377
13867.382812,-97.406197
13910.449219,-97.656837
13953.515625,-97.920784
13996.582031,-98.198784
14039.648438,-98.341003
14082.714844,-98.357002
14125.781250,-98.310547
14168.847656,-98.303314
14211.914062,-98.283119
14254.980469,-98.161034
14298.046875,-98.010559
14341.113281,-97.811707
14384.179688,-97.531830
14427.246094,-97.225922
14470.312500,-97.021141
14513.378906,-96.977493
14556.445312,-97.063866
14599.511719,-97.344269
14642.578125,-97.718407
14685.644531,-98.250656
14728.710938,-98.679199
14771.777344,-98.875450
14814.843750,-98.968094
14857.910156,-99.055771
14900.976562,-99.218895
14944.042969,-99.225830
14987.109375,-99.114288
15030.175781,-99.095238
15073.242188,-98.941162
15116.308594,-98.686714
15159.375000,-98.325577
15202.441406,-98.115677
15245.507812,-98.140694
15288.574219,-98.217316
15331.640625,-98.370796
15374.707031,-98.494514
15417.773438,-98.792747
15460.839844,-99.265259
15503.906250,-99.569847
15546.972656,-99.883156
15590.039062,-99.954147
15633.105469,-99.749718
15676.171875,-99.426193
15719.238281,-99.161041
15762.304688,-98.932343
15805.371094,-98.617043
15848.437500,-98.326332
15891.503906,-98.035835
15934.570312,-97.706863
15977.636719,-97.384827
16020.703125,-97.070831
16063.769531,-97.080276
16106.835938,-97.430519
16149.902344,-97.746506
16192.968750,-97.932121
16236.035156,-98.048782
16279.101562,-98.193420
16322.167969,-98.547211
16365.234375,-98.812691
16408.300781,-98.944397
16451.367188,-99.061417
16494.433594,-99.019791
16537.500000,-98.820740
16580.566406,-98.666367
16623.632812,-98.713577
16666.699219,-98.691750
16709.765625,-98.734108
16752.832031,-98.813812
16795.898438,-98.718323
16838.964844,-98.644211
16882.031250,-98.608116
16925.097656,-98.690338
16968.164062,-98.790070
17011.230469,-98.788208
17054.296875,-98.574547
17097.363281,-98.804077
17140.429688,-98.940163
17183.496094,-98.933907
17226.562500,-98.905647
17269.628906,-98.926544
17312.695312,-98.941391
17355.761719,-98.865486
17398.828125,-98.740440
17441.894531,-98.798065
17484.960938,-99.107948
17528.027344,-99.526993
17571.093750,-99.522430
17614.160156,-99.748558
17657.226562,-100.140099
17700.292969,-100.399307
17743.359375,-100.405548
17786.425781,-100.363289
17829.492188,-100.421265
17872.558594,-100.531784
17915.625000,-100.696541
17958.691406,-100.821068
18001.757812,-100.677895
18044.824219,-99.996269
18087.890625,-99.330421
18130.957031,-99.114098
18174.023438,-99.039536
18217.089844,-99.155602
18260.156250,-99.286125
18303.222656,-99.411530
18346.289062,-99.470184
18389.355469,-99.594826
18432.421875,-99.768280
18475.488281,-100.053848
18518.554688,-100.844917
18561.621094,-101.509392
18604.687500,-101.663696
18647.753906,-101.788681
18690.820312,-101.665100
18733.886719,-101.473099
18776.953125,-101.301376
18820.019531,-100.942932
18863.085938,-100.591949
