freq_hz,level_db
0.000000,-26.418083
43.066406,-29.523525
86.132812,-32.041119
129.199219,-34.498367
172.265625,-37.050766
215.332031,-39.567398
258.398438,-37.499763
301.464844,-36.216492
344.531250,-35.822044
387.597656,-35.873356
430.664062,-36.151928
473.730469,-36.691582
516.796875,-37.248165
559.863281,-38.234856
602.929688,-39.835617
645.996094,-41.772133
689.062500,-43.794174
732.128906,-45.791428
775.195312,-47.079674
818.261719,-47.656391
861.328125,-47.995529
904.394531,-48.398785
947.460938,-48.899567
990.527344,-50.261494
1033.593750,-51.869240
1076.660156,-53.035553
1119.726562,-53.895927
1162.792969,-54.839321
1205.859375,-55.805443
1248.925781,-56.803696
1291.992188,-57.833656
1335.058594,-58.893581
1378.125000,-60.009789
1421.191406,-61.153618
1464.257812,-62.326569
1507.324219,-63.495556
1550.390625,-64.622803
1593.457031,-65.665031
1636.523438,-66.603340
1679.589844,-67.462234
1722.656250,-68.214493
1765.722656,-68.846222
1808.789062,-69.376511
1851.855469,-69.791412
1894.921875,-70.113029
1937.988281,-70.344879
1981.054688,-70.519089
2024.121094,-70.672325
2067.187500,-70.823524
2110.253906,-71.026482
2153.320312,-71.299416
2196.386719,-71.556870
2239.453125,-71.821564
2282.519531,-72.084793
2325.585938,-72.356186
2368.652344,-72.657516
2411.718750,-73.011093
2454.785156,-73.425934
2497.851562,-73.832047
2540.917969,-74.225616
2583.984375,-74.528587
2627.050781,-74.744751
2670.117188,-75.004097
2713.183594,-75.307343
2756.250000,-75.636208
2799.316406,-75.979156
2842.382812,-76.292175
2885.449219,-76.507187
2928.515625,-76.632423
2971.582031,-76.762772
3014.648438,-76.878731
3057.714844,-76.960426
3100.781250,-77.025467
3143.847656,-77.128624
3186.914062,-77.226295
3229.980469,-77.316032
3273.046875,-77.425522
3316.113281,-77.580490
3359.179688,-77.845604
3402.246094,-78.234688
3445.312500,-78.676514
3488.378906,-79.141464
3531.445312,-79.680580
3574.511719,-80.106682
3617.578125,-80.403145
3660.644531,-80.600937
3703.710938,-80.710289
3746.777344,-80.767525
3789.843750,-80.823395
3832.910156,-80.872223
3875.976562,-80.779381
3919.042969,-80.539688
3962.109375,-80.197830
4005.175781,-79.820992
4048.242188,-79.627998
4091.308594,-79.572639
4134.375000,-79.662277
4177.441406,-79.874168
4220.507812,-80.140846
4263.574219,-80.432472
4306.640625,-80.777130
4349.707031,-81.279510
