freq_hz,level_db
0.000000,-24.666050
43.066406,-28.026432
86.132812,-30.756351
129.199219,-33.278919
172.265625,-35.857849
215.332031,-38.353844
258.398438,-36.138596
301.464844,-34.171524
344.531250,-32.864510
387.597656,-33.025921
430.664062,-34.169601
473.730469,-35.499977
516.796875,-35.854500
559.863281,-36.707249
602.929688,-38.383976
645.996094,-40.333641
689.062500,-42.498756
732.128906,-44.677383
775.195312,-46.676605
818.261719,-48.311150
861.328125,-48.878613
904.394531,-49.310307
947.460938,-49.973873
990.527344,-51.303207
1033.593750,-52.811447
1076.660156,-53.747597
1119.726562,-54.400455
1162.792969,-54.972786
1205.859375,-55.510468
1248.925781,-56.064301
1291.992188,-56.650795
1335.058594,-57.260509
1378.125000,-57.894093
1421.191406,-58.581017
1464.257812,-59.353176
1507.324219,-60.201134
1550.390625,-61.080303
1593.457031,-61.960831
1636.523438,-62.827263
1679.589844,-63.694370
1722.656250,-64.482841
1765.722656,-65.195076
1808.789062,-65.864571
1851.855469,-66.504990
1894.921875,-67.099289
1937.988281,-67.647522
1981.054688,-68.156815
2024.121094,-68.705849
2067.187500,-69.214127
2110.253906,-69.610931
2153.320312,-69.899185
2196.386719,-70.194504
2239.453125,-70.492111
2282.519531,-70.758713
2325.585938,-70.984283
2368.652344,-71.175514
2411.718750,-71.363235
2454.785156,-71.548691
2497.851562,-71.610489
2540.917969,-71.720078
2583.984375,-71.940048
2627.050781,-72.203522
2670.117188,-72.477325
2713.183594,-72.760483
2756.250000,-73.056053
2799.316406,-73.370483
2842.382812,-73.713547
2885.449219,-74.071732
2928.515625,-74.432480
2971.582031,-74.818199
3014.648438,-75.112602
3057.714844,-75.363121
3100.781250,-75.657753
3143.847656,-75.925156
3186.914062,-76.135857
3229.980469,-76.313835
3273.046875,-76.452072
3316.113281,-76.534904
3359.179688,-76.509155
3402.246094,-76.371407
3445.312500,-76.236313
3488.378906,-76.168427
3531.445312,-76.138885
3574.511719,-76.125137
3617.578125,-76.209236
3660.644531,-76.407639
3703.710938,-76.608414
3746.777344,-76.861908
3789.843750,-77.168167
3832.910156,-77.548294
3875.976562,-78.015350
3919.042969,-78.452324
3962.109375,-78.840782
4005.175781,-79.163673
4048.242188,-79.456558
4091.308594,-79.741325
4134.375000,-80.022873
4177.441406,-80.317047
4220.507812,-80.514320
4263.574219,-80.626602
4306.640625,-80.642136
4349.707031,-80.554512
4392.773438,-80.460991
4435.839844,-80.351013
4478.906250,-80.241386
4521.972656,-80.125053
4565.039062,-79.965622
4608.105469,-79.755638
4651.171875,-79.574425
4694.238281,-79.483841
4737.304688,-79.483063
4780.371094,-79.597694
4823.437500,-79.792480
4866.503906,-80.006226
4909.570312,-80.241241
4952.636719,-80.553688
4995.703125,-80.763382
5038.769531,-80.834000
5081.835938,-81.008446
5124.902344,-81.326515
5167.968750,-81.546295
5211.035156,-81.689316
5254.101562,-81.782692
5297.167969,-81.836105
5340.234375,-81.876068
5383.300781,-81.937576
5426.367188,-81.922432
5469.433594,-81.951920
5512.500000,-82.087006
5555.566406,-82.116463
5598.632812,-81.950638
5641.699219,-81.821434
5684.765625,-81.730209
5727.832031,-81.663712
5770.898438,-81.583870
5813.964844,-81.650925
5857.031250,-81.648849
5900.097656,-81.624214
5943.164062,-81.750267
5986.230469,-81.888168
6029.296875,-82.044266
6072.363281,-82.222801
6115.429688,-82.413757
6158.496094,-82.576668
6201.562500,-82.708931
6244.628906,-82.889236
6287.695312,-82.982811
6330.761719,-83.168488
6373.828125,-83.489494
6416.894531,-83.717720
6459.960938,-83.990448
6503.027344,-84.077606
6546.093750,-84.119576
6589.160156,-84.155121
6632.226562,-84.179581
6675.292969,-84.185394
6718.359375,-84.168098
6761.425781,-84.098137
6804.492188,-83.984344
6847.558594,-83.822701
6890.625000,-83.686554
6933.691406,-83.529190
6976.757812,-83.552597
7019.824219,-83.656326
7062.890625,-83.844299
7105.957031,-84.119492
7149.023438,-84.403580
7192.089844,-84.646919
7235.156250,-84.926300
7278.222656,-85.215866
7321.289062,-85.472908
7364.355469,-85.705490
7407.421875,-85.941269
7450.488281,-86.184731
7493.554688,-86.405838
7536.621094,-86.568268
7579.687500,-86.622559
7622.753906,-86.641975
7665.820312,-86.672623
7708.886719,-86.648506
7751.953125,-86.600800
7795.019531,-86.535065
7838.085938,-86.441147
7881.152344,-86.337120
7924.218750,-86.202652
7967.285156,-86.044060
8010.351562,-85.914261
8053.417969,-85.881966
8096.484375,-85.937386
8139.550781,-86.071632
8182.617188,-86.278809
8225.683594,-86.559723
8268.750000,-86.824783
8311.816406,-87.117729
8354.882812,-87.337708
8397.949219,-87.524292
8441.015625,-87.746712
8484.082031,-87.927299
8527.148438,-88.054070
8570.214844,-88.129341
8613.281250,-88.139801
8656.347656,-88.116409
8699.414062,-88.039444
8742.480469,-87.891212
8785.546875,-87.681068
8828.613281,-87.513878
8871.679688,-87.371780
8914.746094,-87.208160
8957.812500,-87.046349
9000.878906,-86.878815
9043.945312,-86.739937
9087.011719,-86.635742
9130.078125,-86.520920
9173.144531,-86.463326
9216.210938,-86.590759
9259.277344,-86.825188
9302.343750,-87.121223
9345.410156,-87.478073
9388.476562,-87.862991
9431.542969,-88.287552
9474.609375,-88.684326
9517.675781,-88.959396
9560.742188,-89.213013
9603.808594,-89.432701
9646.875000,-89.586555
9689.941406,-89.659546
9733.007812,-89.699760
9776.074219,-89.700867
9819.140625,-89.593353
9862.207031,-89.392998
9905.273438,-89.128693
9948.339844,-88.881462
9991.406250,-88.723427
10034.472656,-88.560936
10077.539062,-88.422813
10120.605469,-88.285698
10163.671875,-88.148155
10206.738281,-88.039894
10249.804688,-87.970528
10292.871094,-87.958046
10335.937500,-88.063293
10379.003906,-88.270821
10422.070312,-88.542053
10465.136719,-88.768570
10508.203125,-89.023888
10551.269531,-89.334198
10594.335938,-89.403084
10637.402344,-89.570724
10680.468750,-89.761559
10723.535156,-90.056686
10766.601562,-90.339401
10809.667969,-90.585312
10852.734375,-90.745033
10895.800781,-90.821350
10938.867188,-90.877029
10981.933594,-90.856239
11025.000000,-90.764519
11068.066406,-90.890663
11111.132812,-90.894730
11154.199219,-90.813972
11197.265625,-90.570770
11240.332031,-90.336166
11283.398438,-90.093102
11326.464844,-89.870438
11369.531250,-89.688080
11412.597656,-89.485252
11455.664062,-89.310059
11498.730469,-89.233917
11541.796875,-89.322151
11584.863281,-89.497269
11627.929688,-89.710815
11670.996094,-89.954208
11714.062500,-90.125137
11757.128906,-90.424767
11800.195312,-90.811127
11843.261719,-91.144989
11886.328125,-91.567116
11929.394531,-91.964172
11972.460938,-92.230309
12015.527344,-92.336761
12058.593750,-92.353691
12101.660156,-92.288986
12144.726562,-92.145340
12187.792969,-92.048523
12230.859375,-91.812508
12273.925781,-91.453148
12316.992188,-91.122719
12360.058594,-90.816177
12403.125000,-90.562599
12446.191406,-90.377968
12489.257812,-90.265213
12532.324219,-90.233620
12575.390625,-90.311638
12618.457031,-90.547455
12661.523438,-90.954338
12704.589844,-91.293678
12747.656250,-91.482185
12790.722656,-91.790070
12833.789062,-92.138649
12876.855469,-92.484634
12919.921875,-92.782784
12962.988281,-92.995926
13006.054688,-93.113647
13049.121094,-93.173935
13092.187500,-93.086479
13135.253906,-92.833839
13178.320312,-92.620781
13221.386719,-92.558701
13264.453125,-92.373825
13307.519531,-92.147186
13350.585938,-91.949989
13393.652344,-91.777733
13436.718750,-91.664803
13479.785156,-91.639374
13522.851562,-91.634773
13565.917969,-91.673752
13608.984375,-91.730423
13652.050781,-91.830452
13695.117188,-91.991776
13738.183594,-92.210205
13781.250000,-92.406136
13824.316406,-92.574913
13867.382812,-92.759666
13910.449219,-92.938431
13953.515625,-93.123253
13996.582031,-93.316093
14039.648438,-93.504211
14082.714844,-93.654335
14125.781250,-93.751717
14168.847656,-93.815216
14211.914062,-93.867233
14254.980469,-93.886566
14298.046875,-93.866394
14341.113281,-93.817444
14384.179688,-93.742973
14427.246094,-93.580421
14470.312500,-93.359230
14513.378906,-93.130234
14556.445312,-92.920456
14599.511719,-92.766502
14642.578125,-92.621864
14685.644531,-92.449509
14728.710938,-92.332153
14771.777344,-92.270264
14814.843750,-92.289330
14857.910156,-92.447075
14900.976562,-92.739548
14944.042969,-93.045502
14987.109375,-93.352852
15030.175781,-93.684113
15073.242188,-94.002937
15116.308594,-94.218102
15159.375000,-94.556427
15202.441406,-94.862686
15245.507812,-95.082161
15288.574219,-95.147118
15331.640625,-95.108551
15374.707031,-95.057449
15417.773438,-94.980316
15460.839844,-94.804909
15503.906250,-94.569008
15546.972656,-94.319168
15590.039062,-94.146591
15633.105469,-93.825195
15676.171875,-93.512726
15719.238281,-93.316582
15762.304688,-93.272827
15805.371094,-93.172073
15848.437500,-92.930573
15891.503906,-92.745155
15934.570312,-92.703148
15977.636719,-92.760368
16020.703125,-92.885376
16063.769531,-93.057365
16106.835938,-93.267975
16149.902344,-93.424133
16192.968750,-93.453629
16236.035156,-93.500221
16279.101562,-93.680984
16322.167969,-94.047394
16365.234375,-94.337646
16408.300781,-94.537735
16451.367188,-94.665314
16494.433594,-94.727303
16537.500000,-94.724411
16580.566406,-94.672363
16623.632812,-94.666618
16666.699219,-94.702049
16709.765625,-94.637276
16752.832031,-94.475296
16795.898438,-94.178749
16838.964844,-93.964211
16882.031250,-93.808220
16925.097656,-93.685608
16968.164062,-93.526878
17011.230469,-93.183418
17054.296875,-92.902283
17097.363281,-93.008850
17140.429688,-93.244835
17183.496094,-93.403656
17226.562500,-93.502663
17269.628906,-93.617920
17312.695312,-93.765785
17355.761719,-93.975983
17398.828125,-94.238052
17441.894531,-94.529686
17484.960938,-95.034286
17528.027344,-95.506416
17571.093750,-95.575928
17614.160156,-95.522499
17657.226562,-95.596428
17700.292969,-95.753754
17743.359375,-95.874527
17786.425781,-95.896416
17829.492188,-95.808907
17872.558594,-95.671074
17915.625000,-95.568726
17958.691406,-95.573997
18001.757812,-95.617203
18044.824219,-95.461311
18087.890625,-95.446205
18130.957031,-95.472908
18174.023438,-95.492973
18217.089844,-95.548561
18260.156250,-95.638657
18303.222656,-95.774323
18346.289062,-95.936752
18389.355469,-96.069710
18432.421875,-96.094650
18475.488281,-96.099297
18518.554688,-96.329887
18561.621094,-96.469208
18604.687500,-96.557434
18647.753906,-96.611320
18690.820312,-96.626350
18733.886719,-96.596977
18776.953125,-96.544868
18820.019531,-96.482483
18863.085938,-96.404297
18906.152344,-96.256332
18949.218750,-96.043533
18992.285156,-95.812737
19035.351562,-95.578941
19078.417969,-95.346664
19121.484375,-95.141945
19164.550781,-94.974846
19207.617188,-94.857674
19250.683594,-94.774841
19293.750000,-94.686790
19336.816406,-94.651527
19379.882812,-94.726028
19422.949219,-94.876526
19466.015625,-95.088173
19509.082031,-95.304932
19552.148438,-95.569893
19595.214844,-95.930649
19638.281250,-96.280220
19681.347656,-96.581932
19724.414062,-96.854454
19767.480469,-97.045883
19810.546875,-97.153175
19853.613281,-97.209129
19896.679688,-97.200409
19939.746094,-97.099480
19982.812500,-96.964127
20025.878906,-96.772850
20068.945312,-96.501404
20112.011719,-96.389008
20155.078125,-96.185120
20198.144531,-95.868240
20241.210938,-95.542625
20284.277344,-95.317543
20327.343750,-95.161591
20370.410156,-95.105316
20413.476562,-95.180336
20456.542969,-95.303116
20499.609375,-95.420280
20542.675781,-95.544838
20585.742188,-95.514999
20628.808594,-95.636101
20671.875000,-95.929123
20714.941406,-96.275909
20758.007812,-96.573532
20801.074219,-96.829758
20844.140625,-96.985489
20887.207031,-97.037865
20930.273438,-97.157188
20973.339844,-97.267357
21016.406250,-97.048447
21059.472656,-96.836807
21102.539062,-96.670708
21145.605469,-96.429253
21188.671875,-96.214287
21231.738281,-96.014839
21274.804688,-95.790939
21317.871094,-95.602158
21360.937500,-95.421432
21404.003906,-95.137810
21447.070312,-94.884552
21490.136719,-94.942757
21533.203125,-94.978027
21576.269531,-94.971214
21619.335938,-95.039688
21662.402344,-95.162888
21705.468750,-95.322647
21748.535156,-95.462463
21791.601562,-95.512726
21834.667969,-95.502495
21877.734375,-86.890076
21920.800781,-78.249451
21963.867188,-69.595909
22006.933594,-60.954975
22050.000000,-52.299744
